<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.05.23	09:00:00	110713	110962	110375	110510	34587	111016	1
2018.05.23	09:15:00	110510	110814	110207	110234	34725	99788	1
2018.05.23	09:30:00	110234	110800	110092	110564	38817	104536	1
2018.05.23	09:45:00	110564	110719	110463	110551	17475	50226	1
2018.05.23	10:00:00	110551	110969	110389	110888	38196	111314	1
2018.05.23	10:15:00	110881	111226	110841	111050	35465	110832	1
2018.05.23	10:30:00	111050	111232	110422	110942	50979	157658	1
2018.05.23	10:45:00	110942	111165	110807	110861	26763	85580	1
2018.05.23	11:00:00	110868	111077	110652	110949	28488	97456	1
2018.05.23	11:15:00	110949	111050	110456	110571	26056	79906	1
2018.05.23	11:30:00	110564	110571	109835	110045	47820	149594	1
2018.05.23	11:45:00	110045	110078	109808	109883	25410	82797	1
2018.05.23	12:00:00	109876	110153	109829	110126	21825	69480	1
2018.05.23	12:15:00	110132	110200	109950	110112	16472	53196	1
2018.05.23	12:30:00	110119	110267	110058	110213	14571	44719	1
2018.05.23	12:45:00	110213	110321	110011	110166	19270	62705	1
2018.05.23	13:00:00	110166	110267	109943	110207	21482	72377	1
2018.05.23	13:15:00	110213	110436	109997	110119	27063	89231	1
2018.05.23	13:30:00	110119	110382	110051	110314	14653	56358	1
2018.05.23	13:45:00	110314	110348	109977	110099	15843	53207	1
2018.05.23	14:00:00	110092	110267	109984	110153	14643	47938	1
2018.05.23	14:15:00	110153	110240	110065	110234	12252	38160	1
2018.05.23	14:30:00	110240	110314	110126	110220	14576	47121	1
2018.05.23	14:45:00	110227	110362	110213	110314	12059	39658	1
2018.05.23	15:00:00	110314	110854	110180	110611	46174	141233	1
2018.05.23	15:15:00	110605	110733	110186	110429	35676	118546	1
2018.05.23	15:30:00	110422	110490	109754	109903	32489	110297	1
2018.05.23	15:45:00	109910	109937	109646	109707	24970	88164	1
2018.05.23	16:00:00	109700	109930	109586	109788	23368	77771	1
2018.05.23	16:15:00	109788	110018	109646	109883	19972	69062	1
2018.05.23	16:30:00	109883	110220	109808	109856	18868	70544	1
2018.05.23	16:45:00	109856	109869	109430	109505	21814	86381	1
2018.05.23	17:00:00	109505	109619	109322	109464	12462	47127	1
2018.05.23	17:15:00	109464	109849	109430	109822	6817	28433	1
2018.05.23	17:30:00	109822	109862	109444	109464	7836	30104	1
2018.05.23	17:45:00	109464	109727	109430	109727	3100	14195	1
2018.05.24	09:00:00	107540	107567	107270	107412	23884	78716	1
2018.05.24	09:15:00	107412	107628	107331	107453	25408	71650	1
2018.05.24	09:30:00	107446	107574	107405	107540	12844	38106	1
